Filename,Expected,Result,Correct,Time,decisions,unit_props,backtracks,pure_literals,resolution_steps
test1.cnf,UNSAT,SAT,False,0.000000,1,6,0,0,0
test10.cnf,UNSAT,SAT,False,0.000000,1,6,0,0,0
test11.cnf,UNSAT,SAT,False,0.028231,302,2559,295,487,0
test12.cnf,UNSAT,SAT,False,0.000000,6,85,5,1,0
test2.cnf,UNSAT,SAT,False,0.000000,0,8,0,0,0
test3.cnf,UNSAT,SAT,False,0.000000,3,6,0,0,0
test4.cnf,UNSAT,SAT,False,0.000000,0,7,0,0,0
test5.cnf,UNSAT,SAT,False,0.000000,0,6,0,0,0
test6.cnf,UNSAT,SAT,False,0.000000,1,5,0,0,0
test7.cnf,UNSAT,SAT,False,0.000000,1,6,0,0,0
test8.cnf,UNSAT,SAT,False,0.000000,2,4,0,1,0
test9.cnf,UNSAT,SAT,False,0.000000,2,6,0,0,0
test1.cnf,UNSAT,SAT,False,0.000000,0,8,0,0,0
test10.cnf,UNSAT,UNSAT,True,0.000000,1,4,1,0,0
test11.cnf,UNSAT,UNSAT,True,0.104179,1228,9125,1228,2587,0
test12.cnf,UNSAT,UNSAT,True,0.021421,255,1214,255,520,0
test2.cnf,UNSAT,UNSAT,True,0.000000,1,4,1,0,0
test3.cnf,UNSAT,SAT,False,0.000000,1,2,0,2,0
test4.cnf,UNSAT,UNSAT,True,0.000000,0,1,0,0,0
test5.cnf,UNSAT,UNSAT,True,0.000000,0,5,0,0,0
test6.cnf,UNSAT,UNSAT,True,0.000000,0,4,0,0,0
test7.cnf,UNSAT,SAT,False,0.000000,1,3,0,0,0
test8.cnf,UNSAT,UNSAT,True,0.000000,0,1,0,0,0
test9.cnf,UNSAT,SAT,False,0.000000,0,3,0,0,0
