Filename,Expected,Result,Correct,Time,decisions,unit_props,backtracks
test1.cnf,SAT,SAT,True,0.008022,338,0,262
test10.cnf,SAT,SAT,True,0.005750,342,0,250
test11.cnf,SAT,SAT,True,0.051578,994,122,1060
test12.cnf,SAT,SAT,True,0.007909,291,0,271
test13.cnf,SAT,SAT,True,0.005000,306,0,304
test2.cnf,SAT,SAT,True,0.002848,337,0,242
test3.cnf,SAT,SAT,True,0.015188,381,0,332
test4.cnf,SAT,SAT,True,0.000000,348,0,265
test5.cnf,SAT,SAT,True,0.015803,338,0,250
test6.cnf,SAT,SAT,True,0.000000,339,0,249
test7.cnf,SAT,SAT,True,0.000000,343,0,258
test8.cnf,SAT,SAT,True,0.015982,340,0,260
test9.cnf,SAT,SAT,True,0.000000,350,0,277
test1.cnf,UNSAT,SAT,False,0.019973,335,0,246
test10.cnf,UNSAT,SAT,False,0.000000,320,0,223
test11.cnf,UNSAT,SAT,False,0.000000,48,0,48
test12.cnf,UNSAT,SAT,False,0.000000,63,0,63
test13.cnf,UNSAT,SAT,False,0.015409,80,0,80
test2.cnf,UNSAT,SAT,False,0.007000,338,0,249
test3.cnf,UNSAT,SAT,False,0.007147,349,0,266
test4.cnf,UNSAT,SAT,False,0.007000,348,0,272
test5.cnf,UNSAT,SAT,False,0.005837,346,0,272
test6.cnf,UNSAT,SAT,False,0.000000,343,0,263
test7.cnf,UNSAT,SAT,False,0.006009,327,0,228
test8.cnf,UNSAT,SAT,False,0.005752,333,0,235
test9.cnf,UNSAT,SAT,False,0.006008,340,0,242
