Filename,Expected,Result,Correct,Time,decisions,unit_props,backtracks
test1.cnf,SAT,SAT,True,0.000000,7,0,4
test10.cnf,SAT,SAT,True,0.000000,5,2,4
test11.cnf,SAT,SAT,True,0.000000,57,0,23
test12.cnf,SAT,SAT,True,0.000000,61,0,29
test2.cnf,SAT,SAT,True,0.000000,4,2,0
test3.cnf,SAT,SAT,True,0.000000,6,0,0
test4.cnf,SAT,SAT,True,0.000000,5,1,0
test5.cnf,SAT,SAT,True,0.000000,1,5,0
test6.cnf,SAT,SAT,True,0.000000,6,0,0
test7.cnf,SAT,SAT,True,0.000000,8,0,7
test8.cnf,SAT,SAT,True,0.000000,7,0,4
test9.cnf,SAT,SAT,True,0.000000,6,0,3
test1.cnf,UNSAT,SAT,False,0.000000,4,2,0
test10.cnf,UNSAT,UNSAT,True,0.000000,3,0,6
test11.cnf,UNSAT,SAT,False,0.000000,62,0,33
test12.cnf,UNSAT,SAT,False,0.000000,61,0,29
test2.cnf,UNSAT,UNSAT,True,0.000000,3,0,6
test3.cnf,UNSAT,SAT,False,0.000000,4,0,2
test4.cnf,UNSAT,UNSAT,True,0.000000,0,1,0
test5.cnf,UNSAT,UNSAT,True,0.000000,2,3,4
test6.cnf,UNSAT,UNSAT,True,0.000000,2,2,4
test7.cnf,UNSAT,SAT,False,0.000000,3,0,2
test8.cnf,UNSAT,UNSAT,True,0.000000,0,1,0
test9.cnf,UNSAT,SAT,False,0.000000,2,1,0
