Filename,Expected,Result,Correct,Time,resolution_steps,decisions,unit_props,backtracks,pure_literals
test1.cnf,UNSAT,SAT,False,0.000000,0,0,0,0,0
test10.cnf,UNSAT,SAT,False,0.000000,39,0,0,0,0
test2.cnf,UNSAT,SAT,False,0.000000,0,0,0,0,0
test3.cnf,UNSAT,SAT,False,0.000000,8,0,0,0,0
test4.cnf,UNSAT,SAT,False,0.000000,10,0,0,0,0
test5.cnf,UNSAT,SAT,False,0.000000,0,0,0,0,0
test6.cnf,UNSAT,SAT,False,0.000000,2,0,0,0,0
test7.cnf,UNSAT,SAT,False,0.000000,2,0,0,0,0
test8.cnf,UNSAT,SAT,False,0.000000,10,0,0,0,0
test9.cnf,UNSAT,SAT,False,0.000000,0,0,0,0,0
test1.cnf,UNSAT,UNSAT,True,0.001011,1,0,0,0,0
test10.cnf,UNSAT,UNSAT,True,0.000000,1,0,0,0,0
test2.cnf,UNSAT,UNSAT,True,0.000000,3,0,0,0,0
test3.cnf,UNSAT,UNSAT,True,0.000000,12,0,0,0,0
test5.cnf,UNSAT,SAT,False,0.000000,10,0,0,0,0
test6.cnf,UNSAT,SAT,False,0.000000,48,0,0,0,0
test7.cnf,UNSAT,UNSAT,True,0.000000,3,0,0,0,0
test8.cnf,UNSAT,SAT,False,0.000000,34,0,0,0,0
test9.cnf,UNSAT,UNSAT,True,0.000000,4,0,0,0,0
